LU,QR,CL
735952,1334384,346105
666504,1475291,351954
664026,1221180,331072
708107,1300409,339677
669479,1233118,327801
654235,1192613,329311
654157,1216671,333194
653546,1189485,328403
655823,1185159,328349
654675,1185016,329175
652731,1231504,327540
653400,1182605,332447
655862,1193569,328920
655077,1209309,328579
651723,1207048,324408
652094,1475101,358026
764444,1661478,329265
704816,1196521,327269
659097,1199664,331106
655283,1234037,328936
699731,1513900,337623
708906,1420004,330185
690273,1438239,330422
673206,1405045,329616
669639,1397460,329930
670534,1415851,329315
671449,1414246,330170
682809,1563507,330034
669991,1399174,329123
669900,1403820,335633
709646,1401223,324839
673277,1381320,332726
668217,1378130,327522
668214,1409366,329212
671960,1410949,325586
671371,1406523,329703
673065,1381953,329029
669609,1402701,325505
675984,1405018,328998
670020,1385848,324520
662703,1193732,328344
673347,1388898,329287
671310,1396591,329437
671662,1386567,328170
668375,1397285,328978
672741,1406127,329035
671800,1390086,329696
669651,1462568,327868
685753,1405100,329800
671691,1419925,329199
673569,1415570,329290
667388,1403534,328441
680254,1434530,327553
670819,1409335,330106
655682,1285898,324810
670462,1399454,328833
672094,1439919,327243
703543,1391780,327895
671794,1408503,328614
698131,1454994,337924
667806,1192757,328910
653963,1376332,390025
713964,1358691,371927
740018,1210240,331041
650038,1175035,328381
653122,1183227,328508
661311,1295842,330715
651450,1184626,339562
768546,1480369,333027
676068,1189028,330230
658256,1193085,328342
654475,1175617,329579
654402,1189273,329725
656301,1201261,327926
655192,1193531,329662
652236,1201594,345181
674234,1393839,330260
673340,1327804,405024
615302,1294104,399595
691228,1824331,394872
664289,1184097,326444
654465,1183946,330137
656147,1179012,328531
660203,1233656,327899
664774,1173631,325797
657444,1178325,329520
649490,1173273,330306
657007,1194924,339242
674316,1191426,329131
654431,1185384,328298
659321,1234781,330504
652447,1193851,328561
656534,1178147,327733
653935,1194861,333511
655303,1195053,326201
653572,1190289,328726
653104,1190874,328052
650847,1236818,338733
645384,1289703,333610
662164,1248027,332768
